"Campo";"Valor";"Unidade";"Observação"
"Usuários ativos";"20";"% dos cadastrados";"Editar conforme analytics"
"Usuários Premium";"20";"% dos cadastrados";"Editar conforme conversão"
"Usuários Familiares";"5";"% dos cadastrados";"Percentual de usuários em planos familiares"
"Preço Premium";"19,90";"BRL/mês";"Editar preço"
"Preço Familiar";"39,90";"BRL/mês";"Editar preço"
"Medições por usuário/dia";"2";"medições";"Estimativa inicial"
"Tamanho médio da medição";"1";"KB";"Registro + índices; validar no banco"
"Dias por mês";"30";"dias";"Convenção do modelo"
"PDFs por usuário/mês";"0,10";"arquivos";"Estimativa"
"Tamanho médio PDF";"500";"KB";"Estimativa"
"Fotos por usuário/mês";"0,05";"arquivos";"Estimativa"
"Tamanho médio foto";"800";"KB";"Estimativa"
"Avatares por usuário";"1";"arquivos";"Estimativa"
"Tamanho avatar";"300";"KB";"Estimativa"
"Imagens IA por usuário/mês";"0,10";"arquivos";"Estimativa"
"Tamanho imagem IA";"1.000";"KB";"Estimativa"
"Consultas IA por usuário/mês";"2";"consultas";"Estimativa"
"Tokens entrada por consulta";"1.000";"tokens";"Editar por modelo"
"Tokens saída por consulta";"500";"tokens";"Editar por modelo"
"Preço entrada IA";"5";"BRL/milhão tokens";"Substituir pelo preço contratado"
"Preço saída IA";"15";"BRL/milhão tokens";"Substituir pelo preço contratado"
"PostgreSQL";"120";"BRL/mês";"Custo atual/estimado"
"Storage";"50";"BRL/mês";"Custo atual/estimado"
"Servidor";"180";"BRL/mês";"Custo atual/estimado"
"E-mail";"30";"BRL/mês";"Custo atual/estimado"
"Monitoramento";"40";"BRL/mês";"Custo atual/estimado"
"Backup";"30";"BRL/mês";"Custo atual/estimado"
"Gateway";"0";"BRL/mês";"Custos variáveis entram na aba Lucro"
"Impostos";"0";"% receita";"Preencher conforme regime"
"Marketing";"0";"BRL/mês";"Opcional"
"Suporte";"0";"BRL/mês";"Opcional"
"Outros";"0";"BRL/mês";"Opcional"
